#SNOWEX IOP GRAND MESA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
#SMP MEASUREMENTS,,,,,,,,
#Level_1=omitted files removed from level_0,,,,,,,,
#OBSERVER:,"Megan Mason (MM), HP Marshall (HP), Ioanna Merkouriadi (IM)",,,,,,,
"#P=pitwall measurement, P_top=top portion of pit, P_mid=mid portion, P_bot=bottom portion",,,,,,,,
#SMP instrument number: ,,"06=SMP06 (short), 19=SMP19 (1.75m, longest), 19b=SMP19re-born (parts harvested from SMP06)",,,,,,
#Orientation:,"ex, N5,N4,N3,N2,N1=10,20,30,40,50m, C=Center (transect crossing point)",,,,,,,
"#CK=check when plotting, something doesn't align with notes",,,,,,,,
#NA=measurement not taken or not applicable,,,,,,,,
Date,Pit ID,SMP instrument # ,Fname sufix,Orientation,Snow depth,Flag,Observer,Comments
2020-01-29 00:00:00,5S43,6,717,W3,,,IM,measurement started 1-2cm below the surface. Too soft snow. Wooden base sinks.
2020-01-29 00:00:00,5S43,6,718,W2,,,IM,measurement started 1-2cm below the surface. Too soft snow. Wooden base sinks.
2020-01-29 00:00:00,5S43,6,719,W1,,,IM,
2020-01-29 00:00:00,5S43,6,720,S1,,,IM,
2020-01-29 00:00:00,5S43,6,721,S2,,,IM,
2020-01-29 00:00:00,5S43,6,722,S3,,,IM,
2020-01-29 00:00:00,5S43,6,723,N3,,,IM,
2020-01-29 00:00:00,5S43,6,724,N2,,,IM,
2020-01-29 00:00:00,5S43,6,725,N1,,,IM,
2020-01-29 00:00:00,5S43,6,728,P,,,IM,
2020-01-29 00:00:00,5S43,6,729,P,,,IM,
2020-01-29 00:00:00,5S43,6,730,P,,,IM,
2020-01-29 00:00:00,3S47,6,731,C,,,IM,
2020-01-29 00:00:00,3S47,6,732,E5,,,IM,
2020-01-29 00:00:00,3S47,6,733,E4,,,IM,
2020-01-29 00:00:00,3S47,6,734,E3,,,IM,
2020-01-29 00:00:00,3S47,6,735,E2,,,IM,
2020-01-29 00:00:00,3S47,6,737,E1,,,IM,
2020-01-29 00:00:00,3S47,6,738,W5,,,IM,
2020-01-29 00:00:00,3S47,6,739,W4,,,IM,
2020-01-29 00:00:00,3S47,6,740,W3,,,IM,
2020-01-29 00:00:00,3S47,6,741,W2,,,IM,
2020-01-29 00:00:00,3S47,6,742,W1,,,IM,
2020-01-29 00:00:00,3S47,6,743,S1,,,IM,
2020-01-29 00:00:00,3S47,6,744,S2,,,IM,
2020-01-29 00:00:00,3S47,6,745,S3,,,IM,
2020-01-29 00:00:00,3S47,6,746,N3,,,IM,
2020-01-29 00:00:00,3S47,6,747,N2,,,IM,
2020-01-29 00:00:00,3S47,6,748,N1,,,IM,
2020-01-29 00:00:00,3S47,6,750,P_top1,,,IM,
2020-01-29 00:00:00,3S47,6,751,P_top2,,,IM,
2020-01-29 00:00:00,3S47,6,753,P_top3,,,IM,
2020-01-29 00:00:00,3S47,6,754,P_bot1,60,,IM,
2020-01-29 00:00:00,3S47,6,755,P_bot2,60,,IM,
2020-01-29 00:00:00,3S47,6,757,P_bot3,60,,IM,
2020-01-29 00:00:00,9S51,6,758,C,,,IM,
2020-01-29 00:00:00,9S51,6,759,E5,,,IM,hit the ground
2020-01-29 00:00:00,9S51,6,761,E4,,,IM,started 1-2cm below the surface
2020-01-29 00:00:00,9S51,6,762,E3,,,IM,started 1-2cm below the surface
2020-01-29 00:00:00,9S51,6,763,E2,,,IM,started 1-2cm below the surface
2020-01-29 00:00:00,9S51,6,764,E1,,,IM,
2020-01-29 00:00:00,9S51,6,765,W5,,,IM,
2020-01-29 00:00:00,9S51,6,766,W4,,,IM,
2020-01-29 00:00:00,9S51,6,767,W3,,,IM,
2020-01-29 00:00:00,9S51,6,768,W2,,,IM,
2020-01-29 00:00:00,9S51,6,769,W1,,,IM,
2020-01-29 00:00:00,9S51,6,770,S3,,,IM,hit the ground
2020-01-29 00:00:00,9S51,6,771,S2,,,IM,
2020-01-29 00:00:00,9S51,6,772,S1,,,IM,
2020-01-29 00:00:00,9S51,6,773,N3,,,IM,
2020-01-29 00:00:00,9S51,6,774,N2,,,IM,
2020-01-29 00:00:00,9S51,6,775,N1,,,IM,
2020-01-29 00:00:00,9S51,6,776,P,,,IM,
2020-01-29 00:00:00,9S51,6,777,P,,,IM,
2020-01-29 00:00:00,9S51,6,778,P,,,IM,started 1-2cm below the surface
2020-01-30 00:00:00,5c21,19,851,N1,,,MM,
2020-01-30 00:00:00,5c21,19,852,N2,,,MM,
2020-01-30 00:00:00,5c21,19,853,N3,,,MM,
2020-01-30 00:00:00,5c21,19,854,N4,,,MM,
2020-01-30 00:00:00,5c21,19,855,N5,,,MM,
2020-01-30 00:00:00,5c21,19,856,C,,,MM,
2020-01-30 00:00:00,5c21,19,857,S5,,,MM,
2020-01-30 00:00:00,5c21,19,858,S4,,,MM,
2020-01-30 00:00:00,5c21,19,859,S3,,,MM,
2020-01-30 00:00:00,5c21,19,860,S2,,,MM,
2020-01-30 00:00:00,5c21,19,861,S1,,,MM,
2020-01-30 00:00:00,5c21,19,862,W1,,,MM,
2020-01-30 00:00:00,5c21,19,863,W2,,,MM,
2020-01-30 00:00:00,5c21,19,864,W3,,,MM,
2020-01-30 00:00:00,5c21,19,865,W4,,,MM,
2020-01-30 00:00:00,5c21,19,866,W5,,,MM,
2020-01-30 00:00:00,5c21,19,867,E5,,,MM,
2020-01-30 00:00:00,5c21,19,868,E4,,,MM,
2020-01-30 00:00:00,5c21,19,869,E3,,,MM,
2020-01-30 00:00:00,5c21,19,870,E2,,,MM,
2020-01-30 00:00:00,5c21,19,871,E1,,,MM,
2020-01-30 00:00:00,5c21,19,872,P,,,MM,
2020-01-30 00:00:00,5c21,19,873,P,,,MM,
2020-01-30 00:00:00,5c21,19,874,P,,,MM,
2020-01-30 00:00:00,9n29,19,875,E1,,,MM,
2020-01-30 00:00:00,9n29,19,876,E2,,,MM,
2020-01-30 00:00:00,9n29,19,878,E3,,,MM,repeat
2020-01-30 00:00:00,9n29,19,879,E4,,,MM,
2020-01-30 00:00:00,9n29,19,880,E5,,,MM,
2020-01-30 00:00:00,9n29,19,881,C,,,MM,
2020-01-30 00:00:00,9n29,19,882,W5,,,MM,
2020-01-30 00:00:00,9n29,19,883,W4,,,MM,
2020-01-30 00:00:00,9n29,19,884,W3,,,MM,
2020-01-30 00:00:00,9n29,19,885,W2,,,MM,
2020-01-30 00:00:00,9n29,19,887,W1,,,MM,repeat 886
2020-01-30 00:00:00,9n29,19,888,S1,,,MM,
2020-01-30 00:00:00,9n29,19,889,S2,,,MM,
2020-01-30 00:00:00,9n29,19,890,S3,,,MM,
2020-01-30 00:00:00,9n29,19,891,S4,,,MM,
2020-01-30 00:00:00,9n29,19,892,S5,,,MM,
2020-01-30 00:00:00,9n29,19,893,N5,,,MM,
2020-01-30 00:00:00,9n29,19,894,N4,,,MM,
2020-01-30 00:00:00,9C17,6,782,E1,,,IM,
2020-01-30 00:00:00,9C17,6,783,E2,,,IM,started 1-2cm below surface
2020-01-30 00:00:00,9C17,6,784,E3,,,IM,started 1-2cm below surface
2020-01-30 00:00:00,9C17,6,785,E4,,,IM,started 1-2cm below surface. Hit ground
